game_id,period,away_score,home_score,remaining_time,team,player,result,converted_x,converted_y,shot_distance,assist
"=""0021300008""",1,0,2,00:11:36,NYK,Carmelo Anthony,made,29.2,69.5,20,Tyson Chandler
"=""0021300008""",1,2,2,00:10:27,NYK,Raymond Felton,missed,25.6,83.5,6,
"=""0021300008""",1,2,4,00:10:16,NYK,Tyson Chandler,made,24.4,89.6,1,Pablo Prigioni
"=""0021300008""",1,2,4,00:09:34,NYK,Tyson Chandler,missed,22.7,87.1,3,
"=""0021300008""",1,4,6,00:09:14,NYK,Raymond Felton,made,34.5,75.5,17,
"=""0021300008""",1,4,6,00:08:49,NYK,Iman Shumpert,missed,24.0,87.9,1,
"=""0021300008""",1,4,8,00:08:06,NYK,Carmelo Anthony,made,12.0,87.8,13,
"=""0021300008""",1,4,8,00:07:32,NYK,Iman Shumpert,missed,2.6,85.4,23,
"=""0021300008""",1,4,11,00:06:39,NYK,Pablo Prigioni,made,48.3,90.4,23,Iman Shumpert
"=""0021300008""",1,6,11,00:06:11,NYK,Raymond Felton,missed,42.7,89.5,18,
"=""0021300008""",1,6,11,00:06:07,NYK,Iman Shumpert,missed,40.2,83.7,16,
"=""0021300008""",1,6,13,00:05:53,NYK,Pablo Prigioni,made,26.5,87.6,2,
"=""0021300008""",1,6,13,00:05:11,NYK,Metta World Peace,missed,27.9,84.6,5,
"=""0021300008""",1,6,15,00:04:49,NYK,Raymond Felton,made,27.1,88.3,2,
"=""0021300008""",1,8,17,00:04:16,NYK,Iman Shumpert,made,27.8,88.7,3,
"=""0021300008""",1,10,17,00:03:32,NYK,Beno Udrih,missed,10.0,89.8,15,
"=""0021300008""",1,13,17,00:02:46,NYK,Andrea Bargnani,missed,43.4,71.2,26,
"=""0021300008""",1,15,19,00:01:43,NYK,Metta World Peace,made,24.0,88.7,1,
"=""0021300008""",1,16,21,00:00:52,NYK,Beno Udrih,made,44.6,91.1,20,Andrea Bargnani
"=""0021300008""",1,16,21,00:00:38,NYK,Beno Udrih,missed,23.5,88.6,2,
"=""0021300008""",1,18,24,00:00:03,NYK,Kenyon Martin,made,23.9,88.9,1,Beno Udrih
"=""0021300008""",2,18,24,00:11:28,NYK,Andrea Bargnani,missed,20.9,81.8,8,
"=""0021300008""",2,18,24,00:10:41,NYK,Andrea Bargnani,missed,33.3,74.8,16,
"=""0021300008""",2,21,28,00:09:48,NYK,Tim Hardaway Jr.,made,39.3,73.4,21,
"=""0021300008""",2,21,30,00:09:24,NYK,Carmelo Anthony,made,24.6,77.4,12,Kenyon Martin
"=""0021300008""",2,21,30,00:08:47,NYK,Andrea Bargnani,missed,14.9,83.5,12,
"=""0021300008""",2,21,30,00:08:10,NYK,Carmelo Anthony,missed,27.6,88.1,3,
"=""0021300008""",2,23,32,00:07:35,NYK,Tyson Chandler,made,33.8,76.6,15,Tim Hardaway Jr.
"=""0021300008""",2,23,34,00:06:55,NYK,Raymond Felton,made,33.3,73.6,17,
